Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_156bt2.wav,221.0772976,227.1935041,1555.801172,70.69311784
a_156bt3.wav,219.4588618,448.7513492,1701.373309,74.73210754
a_156bt4.wav,220.0597122,478.5761057,1684.431236,78.22733352
a_158bt1.wav,294.6934525,661.7006265,1693.492305,74.78203476
a_158bt2.wav,285.9037162,638.3234732,1650.459872,73.64488119
a_158bt3.wav,280.5781679,654.8049004,1636.630154,77.09541111
a_158bt4.wav,283.1812867,698.3970037,1671.749444,83.48297966
a_160bt1.wav,327.190164,710.8608671,1470.728952,78.24933943
a_160bt2.wav,353.9220586,694.7540148,1395.101497,78.70648145
a_160bt3.wav,337.0130263,691.0161884,1395.369335,83.48265643
a_160bt4.wav,341.0984879,793.6911313,1333.350728,85.50671523
a_165bt1.wav,316.5103488,671.0206572,1823.106666,73.90099662
a_165bt2.wav,325.624767,411.8065356,1819.237245,67.74892944
a_165bt3.wav,313.0798008,540.3518573,1833.276134,69.52875954
a_165bt4.wav,313.0890436,591.9732828,1820.938852,73.54291243
a_167bt1.wav,299.7369521,683.4835174,1378.115077,78.79730407
a_167bt2.wav,289.5353779,634.9678871,1388.718969,73.61030659
a_167bt3.wav,297.2219466,674.133473,1355.651015,76.59140809
a_167bt4.wav,283.3350247,771.8326901,1429.917271,81.41992205
a_170bt1.wav,273.5649018,577.5259376,1429.93482,75.73392357
a_170bt2.wav,275.3026965,774.7997286,1537.988969,72.21172061
a_170bt3.wav,263.7841772,685.7829385,1423.082275,78.47422774
a_170bt4.wav,239.5214003,700.4347782,1489.540515,83.34266138
a_171bt1.wav,330.8583241,648.4992031,1640.422853,73.4199547
a_171bt2.wav,323.3939578,407.0884016,1576.676658,72.41126705
a_171bt3.wav,326.0297672,629.0245571,1776.732238,75.44262122
a_171bt4.wav,299.4964845,648.3486419,1948.940209,80.22607506
a_173bt1.wav,335.3618638,560.9947038,1433.378297,75.75176279
a_173bt2.wav,357.660556,441.5854078,1518.625857,74.99798951
a_173bt3.wav,324.5481473,619.5683016,1283.026022,82.15033943
a_173bt4.wav,298.9949484,605.0278599,1535.711534,83.1494734
a_177bt1.wav,308.4906956,538.0794845,1675.794963,73.56056293
a_177bt2.wav,285.5148715,367.8730033,1834.591407,69.93939944
a_177bt3.wav,300.2646694,548.6470679,1721.262697,72.95264988
a_177bt4.wav,286.5915579,525.1047897,1863.29559,78.47659224
a_178bt1.wav,311.5967534,630.548798,1383.301732,77.84165944
a_178bt2.wav,305.8581349,591.0101424,1372.959429,72.44053133
